Company Name,Email Id,Address
INDIGRAM ,ceo@indigramlabs.org.,New Delhi
Antler,rajiv@antler.com,bengaluru 
UNICORN INDIA VENTURES,info@unicornivc.com,mumbai
DHOLAKIA VENTURES,pitch@dholakiaventures.com,surat
YOURNEST VENTURE CAPITAL,investor.relations@yournest.in,gurgaon
Temasek Holdings,sanjay@temasek.com,Mumbai
FIRESIDE VENTURES,contact@firesideventures.com,bengaluru 
SUCSEED INDOVATION FUND,sucseedindovation@gmail.com,Hyderabad
RTP GLOBAL ,legal@rtp-global.com.,bengaluru 
LIGHTROCK - ASPADA,kartik@lightrock.com,bangalore
SAAMA CAPITAL,contactus@saama.vc,bangalore
WESTBRIDGE CAPITAL,queries@westbridgecap.com,bangalore
BLACKSOIL,Info@blacksoil.co.in,mumbai
CAPRIA VENTURES,media@capria.vc,bangalore
"ENDIYA PARTNERS,",contact@endiya.com,Hyderabad
 VILLGRO,info@villgro.org,chennai
"SPECIALE INVEST,",info@specialeinvest.com,bangalore
"PRIME VENTURE PARTNERS, ",info@primevp.in ,bangalore
1CROWD,info@1crowd.co,mumbai
NB VENTURES,portfolio-finance@nbventuresme.com,mumbai
BRAND CAPITAL,brandcapital@timesgroup.com,Hyderabad
ADVANTEDGE FOUNDERS ,incubator@advantedge.vc,New Delhi
GEMBA CAPITAL ,info@gembacapital.in,bangalore
ANTHILL VENTURES,Info@anthillventures.com,Hyderabad
"ASTARC VENTURES,",info@astarcventures.com,mumbai
POINTONE CAPITAL,mihir.jha@pointone.capital,mumbai
