Company Name,Website,Email,Phone,Details
Shardul Amarchand Mangaldas - Chennai,https://www.samss.com/,info@samss.com,(5411)(),Company: Redirecting... | Website: https://www.samss.com/
Nishith Desai Associates - Chennai,https://www.nishithdesai.com/,contact@nishithdesai.com,44897274-1,Company: Nishith Desai Associates | Legal and Tax Counselling Worldwide | Website: https://www.nishithdesai.com/
Khaitan & Co - Chennai,https://www.khaitanco.com/,singapore@khaitanco.com,"+93
             ","Company: Facilitating commercial legal solutions | Website: https://www.khaitanco.com/ | Email: mumbai@khaitanco.com | Phone: +91 | Address: 1
                                                
                                            Dr. V B Gandhi Marg, 
                                                
                                            Fort, Mumbai | About: Khaitan & Co | LinkedIn Skip to main content LinkedIn Articles People Learning Jobs Games Get the app Sign in Join now Khaitan & Co Legal Services Mumbai, Maharashtra 242,071 followers Founded in 1911, Khaitan & Co is one of India's leading full service law firms. Follow View all 2,555 employees Rep... | Mission: Mission statement not found | Vision: Vision statement not found | Leadership: Search See all results for """" Filters: All People Expertise Insights News Explore Insights Get the latest point of view of experts at Khaitan upon various events and announcements happening in the fie... | Team: Search See all results for """" Filters: All People Expertise Insights News Explore Insights Get the latest point of view of experts at Khaitan upon various events and announcements happening in the fie... | Awards: Awards and Industry Achievements - Khaitan & Co | Corporate Law Firm Disclaimer The Bar Council of India does not permit advertisement or solicitation by advocates in any form or manner. By accessing ..."
AZB & Partners - Chennai,https://www.azbpartners.com/,mumbai@azbpartners.com,+912240729999,"Company: Home | Website: https://www.azbpartners.com/ | Email: mumbai@azbpartners.com | Phone: 91 22 4072 9999 | Address: Boat Club Road,R A Puram, Chennai 600028 | About: AZB & Partners | LinkedIn Skip to main content LinkedIn Top Content People Learning Jobs Games Get the app Sign in Join now for free AZB & Partners Legal Services Mumbai, Maharashtra 155,586 followers Energy, Expertise, Execution - Unmatched Follow View all 1,051 employees Report this company About ... | Mission: s and collaborate with relevant ministries and stakeholders to advance actionable recommendations to support India’s clean energy-transition goals. | Vision: Vision statement not found | Services: Banking & Finance Capital Markets Competition / Antitrust Compliance & Investigation / White–Collar Crime Corporate / Mergers & Acquisitions Data Privacy & Protection Dispute Resolution Employment / Labour & Benefits Financial Services Funds Intellec... | Leadership: Personal commitment supported by experience and grit. We commit early. We pull together internally for greater support. Every effort is sincere, every individual deeply dedicated to their task, their ... | Team: Personal commitment supported by experience and grit. We commit early. We pull together internally for greater support. Every effort is sincere, every individual deeply dedicated to their task, their ... | Awards: Awards & Rankings Awards & Rankings - azb ABOUT EXPERTISE PEOPLE IMPACT RESOURCES CAREERS Driven by excellence, focused on strategies for the longer term. This is the crux of who we are. It is an arti... | Certifications: Compliance & Investigation / White–Collar Crime Compliance & Investigation / White–Collar Crime - azb ABOUT EXPERTISE PEOPLE IMPACT RESOURCES CAREERS Driven by excellence, focused on strategies for th..."
S&R Associates - Chennai,https://www.snrlaw.com/,admin@snrlaw.com,1-303-893-0552,Home:  | Contact: - | About: -
Trilegal - Chennai,https://www.trilegal.com/,support@trilegal.com,22-49108000,"Company: Trilegal - Leading Law Firm in India | Legal Services, Expertise | Website: https://www.trilegal.com/ | About: Trilegal is a leading full-service law firm in India with over 25 years of experience, trusted for its in-depth expertise and client-centric approach. The firm advises a diverse set of clients, including Fortune 500 companies, global investment funds, major Indian conglomerates, domestic and interna... | Mission: Mission statement not found | Vision: Vision statement not found | Leadership: Aabhishek Dubey Partner - Corporate M&A | Private Equity | Venture Capital | General Corporate | Aerospace | Joint Ventures Delhi, Bengaluru OverviewAabhishek is Partner in Trilegal’s Corporate practi... | Team: Aabhishek Dubey Partner - Corporate M&A | Private Equity | Venture Capital | General Corporate | Aerospace | Joint Ventures Delhi, Bengaluru OverviewAabhishek is Partner in Trilegal’s Corporate practi... | Awards: Awards - Trilegal Expertise Industries Practices People Contact Us Alumni About the Firm Careers Collaborations Culture Expertise - Industries Expertise - Practices Knowledge Repository News and Insig..."
Cyril Amarchand Mangaldas - Chennai,https://www.cyrilshroff.com/,cam.mumbai@cyrilshroff.com,+91 22 66604455,"Company: Home page - Cyril Amarchand Mangaldas | Website: https://www.cyrilshroff.com/ | Email: cam.mumbai@cyrilshroff.com | Phone: +91 | Address: Egmore, Chennai – 600 006 E cam.chennai@cyrilshroff.com  Key Contact      Edward James Partner edward.james@cyrilshroff.com                           GIFT City    Cyril Amarchand Mangaldas - OFC | About: LinkedIn Login, Sign in | LinkedIn Sign in Sign in with Apple Sign in with a passkey By clicking Continue, you agree to LinkedIn’s User Agreement, Privacy Policy, and Cookie Policy. or Email or phone Password Show Forgot password? Keep me logged in Sign in We’ve emailed a one-time link to your prima... | Mission: Mission statement not found | Vision: Vision statement not found | Leadership: Cyril Shroff Managing Partner Corporate Governance | Insolvency & Bankruptcy | Private Client Vandana Shroff Partner Dispute Resolution | Corporate L Viswanathan Senior Partner Banking and Finance | I... | Team: Cyril Shroff Managing Partner Corporate Governance | Insolvency & Bankruptcy | Private Client Vandana Shroff Partner Dispute Resolution | Corporate L Viswanathan Senior Partner Banking and Finance | I... | Awards: Awards & Accolades - Cyril Amarchand Mangaldas Expertise Our Practices Competition/AntitrustCorporate GovernanceEmploymentESGIntellectual PropertyInvestment FundsMergers & Acquisitions/Joint VenturePr..."
Luthra and Luthra - Chennai,https://www.luthra.com/,delhi@luthra.com,+911141215100,"Company: Luthra and Luthra Law Offices India | Website: https://www.luthra.com/ | Email: delhi@luthra.comT | Phone: +91 | Address: 2332 











 







Chennai 



Prestige Palladium Bayan8th FloorGreams Road, Nungambakkam DivisionEgmore, Chennai | About: Litigation practice was set up. Setup India’s first Competition Law practice. Setup India’s first Competition Law practice. Mumbai, Bengaluru and Hyderabad offices were inaugurated.Ranked 1st in the world in the Dealogic Global Review in the category of Global PFI/PPP Deals’. Felicitated by Member o... | Mission: Mission statement not found | Vision: Vision statement not found | Leadership: Leadership - Luthra and Luthra Law Offices India Skip to content Luthra and Luthra About Us Our Firm Leadership Governance Partners Our Story Accolades​ Testimonials Expertise Anti-Corruption & Compli... | Team: Leadership - Luthra and Luthra Law Offices India Skip to content Luthra and Luthra About Us Our Firm Leadership Governance Partners Our Story Accolades​ Testimonials Expertise Anti-Corruption & Compli... | Certifications: Anti-Corruption & Compliance - Luthra and Luthra Skip to content Luthra and Luthra About Us Our Firm Leadership Governance Partners Our Story Accolades​ Testimonials Expertise Anti-Corruption & Compli..."
JSA - Chennai,https://www.jsalaw.com/,info@jsalaw.com,+91-7257557734,"Company: JSA - A leading Law Firm in India operating from over 7 cities. | Website: https://www.jsalaw.com/ | Phone: 500 - 2025
14 | Address: JSA - A leading Law Firm in India operating from over 7 cities.













































































 

Skip to the content 







JSA









HOMEABOUT USOUR PEOPLEPRACTICE AREA | About: About JSA | Leading Indian Law Firm with Pan-India Presence Skip to the content JSA HOMEABOUT USOUR PEOPLEPRACTICE AREAS CORPORATEFINANCEDISPUTES SECTORS AGRICULTURE AND FORESTRYBANKING AND FINANCIAL SERVICESCAPITAL MARKETS AND SECURITIESCONSTRUCTION AND ENGINEERINGDEFENCE AND INTERNAL SECURITYEduca... | Mission: Mission statement not found | Vision: Vision statement not found | Services: JSA HOMEABOUT USOUR PEOPLEPRACTICE AREAS CORPORATEFINANCEDISPUTES SECTORS AGRICULTURE AND FORESTRYBANKING AND FINANCIAL SERVICESCAPITAL MARKETS AND SECURITIESCONSTRUCTION AND ENGINEERINGDEFENCE AND INTERNAL SECURITYEducationEnergy - Power & Hydrocarb... | Leadership: Investment Funds & Assets Management - Sectors - JSA Skip to the content JSA HOMEABOUT USOUR PEOPLEPRACTICE AREAS CORPORATEFINANCEDISPUTES SECTORS AGRICULTURE AND FORESTRYBANKING AND FINANCIAL SERVICE... | Team: Investment Funds & Assets Management - Sectors - JSA Skip to the content JSA HOMEABOUT USOUR PEOPLEPRACTICE AREAS CORPORATEFINANCEDISPUTES SECTORS AGRICULTURE AND FORESTRYBANKING AND FINANCIAL SERVICE... | Awards: Awards & Recognitions - Leading Law Firm in India Skip to the content JSA HOMEABOUT USOUR PEOPLEPRACTICE AREAS CORPORATEFINANCEDISPUTES SECTORS AGRICULTURE AND FORESTRYBANKING AND FINANCIAL SERVICESCA..."
Talwar Thakore & Associates - Chennai,https://www.talwarthakore.com/,contact@talwarthakore.com,+91-8307150741,Home:  | Contact: - | About: -
